Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41700,BAHAWALPUR,Punjab,BAHAWALPUR,45,"21 May, 2025"
41562,BANNU,KPK,BANNU,41,"21 May, 2025"
43544,Baramulla,Kashmir,Baramulla,31,"21 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,43,"21 May, 2025"
41506,CHITRAL,KPK,CHITRAL,36,"21 May, 2025"
41652,D G KHAN,Punjab,D G KHAN,47,"21 May, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,45,"21 May, 2025"
41743,DADU,Sindh,DADU,47,"21 May, 2025"
41508,DIR,KPK,DIR,35,"21 May, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,44,"21 May, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,41,"21 May, 2025"
41516,GILGIT,GB,GILGIT,36,"21 May, 2025"
41757,GWADAR,Balochistan,GWADAR,36,"21 May, 2025"
41505,HUNZA,GB,HUNZA,31,"21 May, 2025"
41764,HYDERABAD,Sindh,HYDERABAD,42,"21 May, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,42,"21 May, 2025"
41598,JHELUM,Punjab,JHELUM,44,"21 May, 2025"
41756,JIWANI,Balochistan,JIWANI,35,"21 May, 2025"
43534,Jammu,Kashmir,Jammu,41,"21 May, 2025"
41696,KALAT,Balochistan,KALAT,33,"21 May, 2025"
41780,KARACHI,Sindh,KARACHI,36,"21 May, 2025"
41640,LAHORE,Punjab,LAHORE,43,"21 May, 2025"
43535,Leh,Kashmir,Leh,20,"21 May, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,28,"21 May, 2025"
41786,MITHI,Sindh,MITHI,43,"21 May, 2025"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,45,"21 May, 2025"
41675,MULTAN,Punjab,MULTAN,44,"21 May, 2025"
41573,MURREE,Punjab,MURREE,29,"21 May, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,42,"21 May, 2025"
41749,NAWABSHAH,Sindh,NAWABSHAH,46,"21 May, 2025"
41710,NOKKUNDI,Balochistan,NOKKUNDI,44,"21 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,44,"21 May, 2025"
43541,Pulwama,Kashmir,Pulwama,29,"21 May, 2025"
41660,QUETTA,Balochistan,QUETTA,38,"21 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,30,"21 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,40,"21 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,45,"21 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,39,"21 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,45,"21 May, 2025"
41697,SIBBI,Balochistan,SIBBI,48,"21 May, 2025"
41517,SKARDU,GB,SKARDU,29,"21 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,45,"21 May, 2025"
43543,Shopian,Kashmir,Shopian,30,"21 May, 2025"
43536,Srinagar,Kashmir,Srinagar,31,"21 May, 2025"
41783,THATTA,Sindh,THATTA,37,"21 May, 2025"
41738,TURBAT,Balochistan,TURBAT,44,"21 May, 2025"
41520,ASTORE,GB,ASTORE,27,"20 May, 2025"
41535,Abbotabad,KPK,Abbotabad,34,"20 May, 2025"
43542,Anantnag,Kashmir,Anantnag,29,"20 May, 2025"
41567,Attock,Punjab,Attock,43,"20 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,41,"20 May, 2025"
41562,BANNU,KPK,BANNU,0,"20 May, 2025"
43544,Baramulla,Kashmir,Baramulla,28,"20 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,41,"20 May, 2025"
41506,CHITRAL,KPK,CHITRAL,35,"20 May, 2025"
41652,D G KHAN,Punjab,D G KHAN,43,"20 May, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,44,"20 May, 2025"
41743,DADU,Sindh,DADU,48,"20 May, 2025"
41508,DIR,KPK,DIR,34,"20 May, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,41,"20 May, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,40,"20 May, 2025"
41516,GILGIT,GB,GILGIT,34,"20 May, 2025"
41757,GWADAR,Balochistan,GWADAR,35,"20 May, 2025"
41505,HUNZA,GB,HUNZA,33,"20 May, 2025"
41764,HYDERABAD,Sindh,HYDERABAD,40,"20 May, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,39,"20 May, 2025"
41598,JHELUM,Punjab,JHELUM,42,"20 May, 2025"
41756,JIWANI,Balochistan,JIWANI,34,"20 May, 2025"
43534,Jammu,Kashmir,Jammu,40,"20 May, 2025"
41696,KALAT,Balochistan,KALAT,31,"20 May, 2025"
41780,KARACHI,Sindh,KARACHI,35,"20 May, 2025"
41640,LAHORE,Punjab,LAHORE,41,"20 May, 2025"
43535,Leh,Kashmir,Leh,15,"20 May, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,27,"20 May, 2025"
41786,MITHI,Sindh,MITHI,42,"20 May, 2025"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,45,"20 May, 2025"
41675,MULTAN,Punjab,MULTAN,41,"20 May, 2025"
41573,MURREE,Punjab,MURREE,27,"20 May, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,41,"20 May, 2025"
41749,NAWABSHAH,Sindh,NAWABSHAH,45,"20 May, 2025"
41710,NOKKUNDI,Balochistan,NOKKUNDI,42,"20 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,43,"20 May, 2025"
43541,Pulwama,Kashmir,Pulwama,28,"20 May, 2025"
41660,QUETTA,Balochistan,QUETTA,36,"20 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,31,"20 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,38,"20 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,42,"20 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,38,"20 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,42,"20 May, 2025"
41697,SIBBI,Balochistan,SIBBI,46,"20 May, 2025"
41517,SKARDU,GB,SKARDU,25,"20 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,44,"20 May, 2025"
43543,Shopian,Kashmir,Shopian,28,"20 May, 2025"
43536,Srinagar,Kashmir,Srinagar,29,"20 May, 2025"
41783,THATTA,Sindh,THATTA,37,"20 May, 2025"
41738,TURBAT,Balochistan,TURBAT,43,"20 May, 2025"
41520,ASTORE,GB,ASTORE,29,"19 May, 2025"
41535,Abbotabad,KPK,Abbotabad,36,"19 May, 2025"
43542,Anantnag,Kashmir,Anantnag,31,"19 May, 2025"
41567,Attock,Punjab,Attock,45,"19 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,44,"19 May, 2025"
41562,BANNU,KPK,BANNU,43,"19 May, 2025"
43544,Baramulla,Kashmir,Baramulla,31,"19 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,43,"19 May, 2025"
41506,CHITRAL,KPK,CHITRAL,37,"19 May, 2025"
