Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41634,CHAKWAL,Punjab,CHAKWAL,35,2025-04-21
41640,LAHORE,Punjab,LAHORE,39,2025-04-21
41525,MALAM JABBA,KPK,MALAM JABBA,16,2025-04-21
41680,SAHIWAL,Punjab,SAHIWAL,38,2025-04-21
43543,Shopian,Kashmir,Shopian,22,2025-04-21
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,40,2025-04-21
41593,SARGODHA,Punjab,SARGODHA,38,2025-04-21
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,31,2025-04-21
43536,Srinagar,Kashmir,Srinagar,21,2025-04-21
41508,DIR,KPK,DIR,22,2025-04-21
41756,JIWANI,Balochistan,JIWANI,35,2025-04-21
41520,ASTORE,GB,ASTORE,17,2025-04-21
41598,JHELUM,Punjab,JHELUM,36,2025-04-21
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,26,2025-04-21
41780,KARACHI,Sindh,KARACHI,40,2025-04-21
43535,Leh,Kashmir,Leh,2,2025-04-21
41535,Abbotabad,KPK,Abbotabad,26,2025-04-21
41738,TURBAT,Balochistan,TURBAT,38,2025-04-21
41696,KALAT,Balochistan,KALAT,19,2025-04-21
41724,SUKKUR,Sindh,SUKKUR,40,2025-04-21
41630,FAISALABAD,Punjab,FAISALABAD,38,2025-04-21
41697,SIBBI,Balochistan,SIBBI,38,2025-04-21
41506,CHITRAL,KPK,CHITRAL,15,2025-04-21
41783,THATTA,Sindh,THATTA,37,2025-04-21
41743,DADU,Sindh,DADU,41,2025-04-21
41757,GWADAR,Balochistan,GWADAR,38,2025-04-21
43534,Jammu,Kashmir,Jammu,35,2025-04-21
41764,HYDERABAD,Sindh,HYDERABAD,41,2025-04-21
41710,NOKKUNDI,Balochistan,NOKKUNDI,30,2025-04-21
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,34,2025-04-21
41624,D-I-KHAN,KPK,D-I-KHAN,39,2025-04-21
41749,NAWABSHAH,Sindh,NAWABSHAH,42,2025-04-21
41700,BAHAWALPUR,Punjab,BAHAWALPUR,39,2025-04-21
41517,SKARDU,GB,SKARDU,15,2025-04-21
43541,Pulwama,Kashmir,Pulwama,21,2025-04-21
41562,BANNU,KPK,BANNU,35,2025-04-21
41505,HUNZA,GB,HUNZA,13,2025-04-21
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,32,2025-04-21
41577,ISLAMABAD,Islamabad,ISLAMABAD,32,2025-04-21
41660,QUETTA,Balochistan,QUETTA,23,2025-04-21
43542,Anantnag,Kashmir,Anantnag,22,2025-04-21
41573,MURREE,Punjab,MURREE,22,2025-04-21
43544,Baramulla,Kashmir,Baramulla,23,2025-04-21
41574,RAWALAKOT,Kashmir,RAWALAKOT,24,2025-04-21
41567,Attock,Punjab,Attock,34,2025-04-21
41516,GILGIT,GB,GILGIT,21,2025-04-21
41652,D G KHAN,Punjab,D G KHAN,40,2025-04-21
41571,RAWALPINDI,Punjab,RAWALPINDI,32,2025-04-21
41675,MULTAN,Punjab,MULTAN,39,2025-04-21
41506,CHITRAL,KPK,CHITRAL,22,2025-04-20
41783,THATTA,Sindh,THATTA,36,2025-04-20
41624,D-I-KHAN,KPK,D-I-KHAN,38,2025-04-20
41780,KARACHI,Sindh,KARACHI,37,2025-04-20
41697,SIBBI,Balochistan,SIBBI,40,2025-04-20
41764,HYDERABAD,Sindh,HYDERABAD,42,2025-04-20
41508,DIR,KPK,DIR,25,2025-04-20
41535,Abbotabad,KPK,Abbotabad,25,2025-04-20
41505,HUNZA,GB,HUNZA,13,2025-04-20
